id,name,birthdate,deathdate
230,Alexandra Maria Lara,2026-11-12,
231,Alexandra Rapaport,2026-12-26,
232,Alexandra Silber,2026-07-03,
233,Alexandre Aja,2026-08-07,
234,Alexandre Rodrigues,2026-05-21,
235,Alexandru Potocean,2026-04-21,
236,Alexia Fast,2026-09-12,
237,Alexia Rasmussen,,
238,Alexis Arquette,2026-07-28,2026-09-11
239,Alexis Biesiada,,
240,Alexis Dziena,2026-07-08,
241,Alexis Kendra,,
242,Alfie Allen,2026-09-12,
243,Alfonso Cuarón,2026-11-28,
244,Alfre Woodard,2026-11-08,
245,Alfred Enoch,2026-12-02,
246,Alfred Hitchcock,1899-08-13,2026-04-29
247,Ali Daniels,2026-06-13,
248,Ali Hillis,2026-12-29,
249,Alia Shawkat,2026-04-18,
250,Alice Braga,2026-04-15,
251,Alice Cooper,2026-02-04,
252,Alice Englert,2026-06-15,
253,Alice Evans,,
254,Alice Greczyn,2026-02-06,
255,Alice Krige,2026-06-28,
256,Alice Olivia Clarke,,
257,Alice Playten,2026-08-28,2026-06-25
258,Alice Pol,,
259,Alice Wu,2026-04-21,
260,Alicia Goranson,2026-06-22,
261,Alicia Keys,2026-01-25,
262,Alicia Sixtos,2026-05-27,
263,Alicia Witt,2026-08-21,
264,Alicia Ziegler,2026-05-02,
265,Alicja Bachleda,2026-05-12,
266,Aliou Touré,,
267,Alisha Boe,2026-03-06,
268,Alison Brie,2026-12-29,
269,Alison Chand,,
270,Alison Doody,2026-11-11,
271,Alison Lohman,2026-09-18,
272,Alison Maclean,,
273,Alissa Dean,,
274,Alister Grierson,,
275,Alix Freihage,,
276,Allan Arkush,2026-04-30,
277,Allan Dwan,1885-04-03,2026-12-28
278,Allegra Carpenter,,
279,Allen Coulter,,
280,Allen Covert,2026-10-13,
281,Allen Hughes,2026-04-01,
282,Allen Leech,2026-05-18,
283,Allen Payne,2026-07-07,
284,Allison Anders,2026-11-16,
285,Allison Burnett,,
286,Allison Dean,,
287,Allison Miller,2026-09-02,
288,Allison Tolman,2026-11-18,
289,Ally Sheedy,2026-06-13,
290,Ally Walker,2026-08-25,
291,Alma Martinez,2026-03-18,
292,Alona Tal,2026-10-20,
293,Alonna Shaw,,
294,Alun Armstrong,2026-07-17,
295,Alycia Debnam-Carey,,
296,Alyson Hannigan,2026-03-24,
297,Alyson Stoner,2026-08-11,
298,Amal Al-Agroobi,,
299,Amanda Detmer,2026-09-27,
300,Amanda Gusack,,
301,Amanda Kearsan,,
302,Amanda MacDonald,,
303,Amanda Mealing,2026-04-22,
304,Amanda Plummer,2026-03-23,
305,Amanda Redman,2026-08-12,
306,Amanda Schull,2026-08-26,
307,Amanda Tilson,,
308,Amanda Troop,,
309,Amanda Wyss,2026-11-24,
310,Amat Escalante,2026-02-28,
311,Amber Armstrong,,
312,Amber Benson,2026-01-08,
313,Amber Marie Bollinger,,
314,Amber Marshall,2026-06-02,
315,Amber Rose Revah,2026-06-24,
316,Amber Stevens West,2026-10-07,
317,Amber Valletta,2026-02-09,
318,Amelia Giancarlo,,
319,Amelia Warner,2026-06-04,
320,America Ferrera,2026-04-18,
321,America Olivo,2026-01-05,
322,Ami Ayalon,,
323,Amiah Miller,,
324,Amidou,2026-08-02,2026-09-19
325,Amir Farrokh Hashemian,,
326,Amir Talai,2026-06-24,
327,Aml Ameen,2026-07-30,
328,Amos Oz,2026-05-04,
329,Amr Waked,2026-04-12,
330,Amrish Puri,2026-06-22,2026-01-12
331,Amy Badberg,,
332,Amy Brenneman,2026-06-22,
333,Amy Bruni,,
334,Amy Carson,,
335,Amy Hargreaves,2026-01-27,
336,Amy Heckerling,2026-05-07,
337,Amy Hill,2026-05-09,
338,Amy Holden Jones,,
339,Amy Irving,2026-09-10,
340,Amy Locane,2026-12-19,
341,Amy Lucas,,
342,Amy Madigan,2026-09-11,
343,Amy Poehler,2026-09-16,
344,Amy Ryan,2026-05-03,
345,Amy Schumer,2026-06-01,
346,Amy Sedaris,2026-03-29,
347,Amy Steel,2026-05-03,
348,Amy Stewart,,
349,Amy Warren,,
350,Amy Yasbeck,2026-09-12,
351,Ana Claudia Talancón,2026-05-01,
352,Ana de la Reguera,2026-04-08,
353,Ana Gasteyer,2026-05-04,
354,Ana Imnadze,,
355,Ana Maria Guran,2026-10-06,
356,Ana Vatamanu,,
357,Analeine Cal y Mayor,,
358,Anamaria Marinca,2026-04-01,
359,Anand Tucker,2026-06-24,
360,Anatoliy Solonitsyn,2026-08-30,2026-06-11
361,Anders Holm,,
362,Andre Braugher,2026-07-01,
363,André Dussollier,2026-02-17,
364,André ?vredal,,
365,André Ramiro,2026-01-14,
366,André Téchiné,,
367,André the Giant,2026-05-19,2026-01-27
368,André Wilms,,
369,Andrea Arnold,2026-04-05,
370,Andrea Corr,2026-12-12,
371,Andrea Di Stefano,2026-12-15,
372,Andrea Frankle,,
373,Andrea Martin,2026-01-15,
374,Andrea Ros,2026-05-03,
375,Andrea Savage,2026-02-20,
376,Andrea Vergara,2026-11-10,
377,Andrei Tarkovsky,2026-04-04,2026-12-29
378,Andrej Nahtigal,2026-09-04,
379,Andrés Couturier,2026-02-05,
380,Andrés Montiel,2026-01-30,
381,Andrés Muschietti,,
382,Andrew Adamson,2026-12-01,
383,Andrew Airlie,2026-09-18,
384,Andrew Berends,,
385,Andrew Bergman,2026-02-20,
386,Andrew Bryniarski,2026-02-13,
387,Andrew Bujalski,,
388,Andrew Currie,,
389,Andrew Daly,2026-04-15,
390,Andrew Davis,2026-11-21,
391,Andrew Dice Clay,2026-09-29,
392,Andrew Dominik,2026-10-07,
393,Andrew Douglas,,
394,Andrew Erwin,,
395,Andrew Fiscella,2026-05-25,
396,Andrew Fleming,2026-12-30,
397,Andrew Garfield,2026-08-20,
398,Andrew Haigh,,
399,Andrew Hyatt,2026-08-19,
400,Andrew Jarecki,,
401,Andrew Keegan,2026-01-29,
402,Andrew Keir,2026-04-03,2026-10-05
403,Andrew Lawrence,2026-08-11,
404,Andrew Leman,,
405,Andrew Morahan,,
406,Andrew Niccol,2026-06-10,
407,Andrew Rannells,2026-08-23,
408,Andrew Robinson,2026-02-14,
409,Andrew Simpson,,
410,Andrew Stanton,2026-12-03,
411,Andrew Steggall,,
412,Andrew Traucki,,
413,Andrew Wilson,,
414,Andrey Konchalovskiy,2026-08-20,
415,Andrey Zvyagintsev,2026-02-06,
416,Andrucha Waddington,,
417,Andrzej Bartkowiak,2026-03-06,
418,Andy Cadiff,,
419,Andy Cohn,,
420,Andy Davoli,2026-09-02,
421,Andy Dick,2026-12-21,
422,Andy Fickman,,
423,Andy Garcia,2026-04-12,
424,Andy Lau,2026-09-27,
425,Andy On,2026-05-11,
426,Andy Richter,2026-10-28,
427,Andy Tennant,2026-06-15,
428,Ane Dahl Torp,2026-08-01,
429,Anella Vastola,,
430,Ang Lee,2026-10-23,
431,Angel Coulby,2026-08-30,
432,Angel David,,
433,Angela Bettis,2026-01-09,
434,Angela Cartwright,2026-09-09,
435,Angela Featherstone,2026-04-03,
436,Angela Jones,,
437,?ngela Molina,2026-10-05,
438,Angela Nordeng,,
439,Angela Robinson,2026-02-14,
440,Angela Sarafyan,2026-06-30,
441,Angelica Lee,2026-01-23,
442,Angélica Sancio,,
443,Angeliki Papoulia,,
444,Angelina Armani,2026-11-18,
445,Angelina Jolie Pitt,2026-06-04,
446,Angell Conwell,2026-08-02,
447,Angelo Anthony Pizza,,
448,Angelo Pizzo,,
449,Angelo Rossitto,2026-02-18,2026-09-21
450,Angelo Tsarouchas,,
451,Angie Dickinson,2026-09-30,
452,Angus Barnett,,
453,Angus Macfadyen,2026-09-21,
454,Angus Sampson,2026-02-12,
455,Angus Scrimm,2026-08-19,2026-01-09
456,Angus T. Jones,2026-10-08,
457,Anika Noni Rose,2026-09-06,
458,Anil Kapoor,2026-12-24,
459,Anil Kumar,,
460,Anita Briem,2026-05-29,
461,Anita Mui,2026-10-10,2026-12-30
462,Anita Page,2026-08-04,2026-09-06
463,Anjelica Huston,2026-07-08,
464,Ann Dowd,2026-01-30,
465,Ann Gillis,2026-02-12,
466,Ann Miller,2026-04-12,2026-01-22
467,Ann Morgan Guilbert,2026-10-16,2026-06-14
468,Ann Talman,2026-09-13,
469,Ann-Margret,2026-04-28,
470,Anna Boden,,
471,Anna Friel,2026-07-12,
472,Anna Gunn,2026-08-11,
473,Anna Harr,,
474,Anna Karina,2026-09-22,
475,Anna Katarina,,
476,Anna Katharina Schwabroh,,
477,Anna Kendrick,2026-08-09,
478,Anna Madeley,,
479,Anna Mastro,,
480,Anna Muylaert,2026-04-21,
481,Anna Nakagawa,2026-08-30,2026-10-17
482,Anna Silk,2026-01-31,
483,Anna Vareschi,,
484,Anna-Louise Plowman,2026-05-09,
485,Annabel Jankel,2026-08-01,
486,Annabella Sciorra,2026-03-29,
487,Annabelle Wallis,,
488,Annabeth Gish,2026-03-13,
489,Anne Archer,2026-08-24,
490,Anne Bancroft,2026-09-17,2026-06-06
491,Anne Fletcher,2026-05-01,
492,Anne Fontaine,2026-07-15,
493,Anne Hathaway,2026-11-12,
494,Anne Heche,2026-05-25,
495,Anne Meara,2026-09-20,2026-05-23
496,Anne Parillaud,2026-05-06,
497,Anne-Marie Duff,2026-10-08,
498,Anneliese van der Pol,2026-09-23,
499,Annelyse Ahmad,,
500,Annet Mahendru,,
501,Annette Badland,2026-08-26,
502,Annie Golden,2026-10-19,
503,Annie Parisse,2026-07-31,
504,Anslem Richardson,,
505,Anthony 'Citric' Campos,,
506,Anthony Bell,,
507,Anthony Burrell,,
508,Anthony Chau-Sang Wong,2026-09-02,
509,Anthony Daniels,,
510,Anthony Edwards,2026-07-19,
511,Anthony Heald,2026-02-20,
512,Anthony Hemingway,,
513,Anthony Hickox,,
514,Anthony Hopkins,2026-12-31,
515,Anthony Johnson,,
516,Anthony L. Fernandez,,
517,Anthony LaPaglia,2026-01-31,
518,Anthony Mann,2026-06-30,2026-04-29
519,Anthony Minghella,2026-01-06,2026-03-18
520,Anthony O'Brien,,
521,Anthony Powell,2026-06-02,
522,Anthony Reynolds,2026-05-08,
523,Anthony Russo,2026-01-31,
524,Anthony Silverston,,
525,Anthony Simcoe,2026-06-07,
526,Anthony Vallone,,
527,Anthony Zerbe,2026-05-20,
528,Antoine Fuqua,2026-01-19,
529,Anton Corbijn,2026-05-20,
530,Antoni Corone,,
531,Antonia Bird,2026-05-27,2026-10-24
532,Antonia Thomas,2026-11-03,
533,Antonio Arrué,,
534,Antonio Banderas,2026-08-10,
535,Antonio de la Torre,2026-01-18,
536,Antonio Sabato Jr.,2月29日,
537,Antonio Simoncini,,
538,Antony Hoffman,,
539,Antony Starr,2026-10-25,
540,Anupam Kher,2026-03-07,
541,Anurag Basu,,
542,Anushka Shetty,2026-11-07,
543,Anwar Congo,,
544,April Winchell,2026-01-04,
545,Ara Celi,2026-06-19,
546,Aramis Knight,2026-10-03,
547,Arben Bajraktaraj,,
548,Arcelia Ramírez,2026-12-07,
549,Archie Kao,2026-12-14,
550,Archie Panjabi,2026-05-31,
551,Aretha Franklin,2026-03-25,
552,Ari Folman,2026-12-17,
553,Ari Gold,,
554,Ari Graynor,2026-04-27,
555,Ari Kirschenbaum,,
556,Ari Sandel,,
557,Aria Noelle Curzon,2026-12-08,
558,Ariana Neal,,
559,Ariana Richards,2026-09-11,
560,Ariane Labed,,
561,Ariane Schluter,2026-02-01,
562,Arie Posin,,
563,Ariel Gade,2026-05-01,
564,Ariel Hsing,,
565,Ariel Vromen,2026-02-14,
566,Aries Spears,2026-04-03,
567,Arik Ascherman,,
568,Arjun Rampal,2026-11-26,
569,Arjun Sablok,,
570,Arliss Howard,2026-10-18,
571,Arly Jover,2026-02-02,
572,Armando Riesco,2026-12-05,
573,Armin Mueller-Stahl,2026-12-17,
574,Armin Rohde,2026-04-04,
575,Armin Shimerman,2026-11-05,
576,Art Carney,2026-11-04,2026-11-09
577,Art Hindle,2026-07-21,
578,Art Malik,2026-11-13,
579,Arthur Agee,2026-11-22,
580,Arthur Hiller,2026-11-22,2026-08-17
581,Arthur O'Connell,2026-03-29,2026-05-18
582,Arturo Castro,2026-12-19,
583,Artyom Bogucharskiy,2026-08-14,
584,Aryana Engineer,2026-03-06,
585,Asger Leth,,
586,Asghar Farhadi,,
587,Ash Baron-Cohen,,
588,Ash Brannon,,
589,Ash Cook,,
590,Ashanti,2026-10-13,
591,Ashish R. Mohan,,
592,Ashleigh Gryzko,,
593,Ashley Ashida Dixon,,
594,Ashley Bell,2026-05-26,
595,Ashley Gerasimovich,,
596,Ashley Hinshaw,2026-12-11,
597,Ashley Laurence,2026-05-28,
598,Ashley Martin,,
599,Ashley Palmer,2026-11-13,
600,Ashley Rickards,2026-05-04,
601,Ashley Scott,2026-07-13,
602,Ashley Tramonte,,
603,Ashley Walters,2026-06-30,
604,Ashley Williams,2026-11-12,
605,Ashraf Barhom,,
606,Asin,2026-10-26,
607,Athina Rachel Tsangari,2026-04-02,
608,Ato Essandoh,2026-07-29,
609,Atom Egoyan,2026-07-19,
610,Atsuko Maeda,2026-07-10,
611,Atticus Shaffer,2026-06-19,
612,Aubrey Poo,,
613,Audrey Fleurot,2026-07-06,
614,Audrey Wells,2026-04-29,
615,August Diehl,2026-01-04,
616,Augustus Prew,2026-09-17,
617,Aunjanue Ellis,2026-02-21,
618,Austin Lyon,,
619,Austin Nichols,2026-04-24,
620,Austin O'Brien,2026-05-11,
621,Austin Pendleton,2026-03-27,
622,Ava Acres,,
623,Ava DuVernay,2026-08-24,
624,Ava Gardner,2026-12-24,2026-01-25
625,Avery Schreiber,2026-04-09,2026-01-07
626,Avi Nesher,,
627,Ayan Mukerji,,
628,Ayelet Zurer,2026-06-28,
629,Ayesha Omar,2026-10-12,
630,Ayla Kell,2026-10-07,
631,Ayush Mahesh Khedekar,,
632,Aziz Muradillayev,,
633,Azura Skye,2026-11-08,
634,B.J. Novak,2026-07-31,
635,Babak Najafi,2026-09-14,
636,Babar Ahmed,,
637,Bahare Seddiqi,,
638,Bai Ling,,
639,Bailee Madison,2026-10-15,
640,Balinese Tari Legong Dancers,,
641,Bálint Péntek,,
642,Baltasar Kormákur,2026-02-27,
643,Balthazar Getty,2026-01-22,
644,Bam Margera,2026-09-28,
645,Barack Obama,2026-08-04,
646,Barbara Bach,2026-08-27,
647,Barbara Billingsley,2026-12-22,2026-10-16
648,Barbara Carrera,2026-12-31,
649,Bárbara Goenaga,2026-07-20,
650,Barbara Hershey,2026-02-05,
651,Barbara Kowalcyk,,
652,Bárbara Mori,2026-02-02,
653,Barbet Schroeder,2026-08-26,
654,Barbie Castro,,
655,Barbra Streisand,2026-04-24,
656,Bari Hyman,,
657,Barnard Hughes,2026-07-16,2026-07-11
658,Barney Clark,2026-12-13,
659,Barney Frank,2026-03-31,
660,Barret Oliver,2026-08-24,
661,Barrett Esposito,,
662,Barry Bostwick,2026-02-24,
663,Barry Cook,,
664,Barry Corbin,2026-10-16,
665,Barry Dennen,2026-02-22,
666,Barry Fitzgerald,1888-03-10,2026-01-14
667,Barry Levinson,2026-04-06,
668,Barry Lynch,2026-08-28,
669,Barry Shabaka Henley,2026-09-15,
670,Barry Skolnick,2026-10-08,
671,Barry Sonnenfeld,2026-04-01,
672,Barry W. Blaustein,,
673,Barry Watson,2026-04-23,
674,Bart Freundlich,2026-01-17,
675,Bart Shatto,2026-02-23,
676,Bart the Bear,,
677,Bashar Rahal,2026-10-20,
678,Basher Savage,,
679,Basil Rathbone,1892-06-13,2026-07-21
680,Baz Luhrmann,2026-09-17,
681,Béatrice Bonifassi,,
682,Béatrice Dalle,2026-12-19,
683,Beatrice Ntuba,,
684,Beatrice Straight,2026-08-02,2026-04-07
685,Beau Bridges,2026-12-09,
686,Beau Garrett,2026-12-28,
687,Beau Knapp,,
688,Beau Mirchoff,2026-01-13,
689,Bebe Neuwirth,2026-12-31,
690,Becky Smith,,
691,Beeban Kidron,2026-05-02,
692,Behrouz Vossoughi,,
693,Belén Rueda,2026-03-16,
694,Bella Heathcote,2026-05-27,
695,Bella Thorne,2026-10-08,
696,Ben Affleck,2026-08-15,
697,Ben Browder,2026-12-11,
698,Ben Chaplin,2026-07-31,
699,Ben Crompton,,
700,Ben Cross,2026-12-16,
701,Ben Daniels,2026-06-10,
702,Ben Davies,,
703,Ben Diskin,2026-08-25,
704,Ben Falcone,,
705,Ben Feldman,2026-05-27,
706,Ben Gazzara,2026-08-28,2026-02-03
707,Ben Johnson,2026-06-13,2026-04-08
708,Ben Lewin,,
709,Ben Mendelsohn,2026-04-03,
710,Ben Miles,,
711,Ben Miller,2026-02-24,
712,Ben Platt,2026-09-24,
713,Ben Schwartz,,
714,Ben Stassen,,
715,Ben Stein,2026-11-25,
716,Ben Stiller,2026-11-30,
717,Ben Vereen,2026-10-10,
718,Ben Wheatley,,
719,Ben Youcef,2026-02-19,
720,Ben Younger,2026-10-07,
721,Benedek Fliegauf,2026-08-15,
722,Benedict Cumberbatch,2026-07-19,
723,Benedict Wong,,
724,Benedikt Erlingsson,2026-05-31,
725,Benh Zeitlin,,
726,Benjamin A. Onyango,,
727,Benjamin Dickinson,,
728,Benjamin Fletcher,,
729,Benjamin J. Cain Jr.,,
730,Benjamin Roberds,,
731,Benjamin Walker,2026-06-21,
732,Bennett Miller,2026-12-30,
733,Benni Diez,,
734,Benno Fürmann,2026-01-17,
735,Benny Boom,,
736,Beno?t Magimel,2026-05-11,
737,Beno?t Poelvoorde,2026-09-22,
738,Benson Lee,,
739,Bérénice Bejo,2026-07-07,
740,Bergüzar Korel,2026-09-02,
741,Bern Cohen,,
742,Bernadette Peters,2026-02-28,
743,Bernard Cribbins,2026-12-29,
744,Bernard Fox,2026-05-11,2026-12-14
745,Bernard Hill,2026-12-17,
746,Bernardo Bertolucci,2026-03-16,
747,Bernardo Saracino,,
748,Bernie Casey,2026-06-08,
749,Bernie Mac,2026-10-05,2026-08-09
750,Bernie Sanders,2026-09-08,
751,Bertrand Cantat,2026-03-05,
752,Bess Armstrong,2026-12-11,
753,Bessie Love,1898-09-10,2026-04-26
754,Beth Broderick,2026-02-24,
755,Beth Grant,2026-09-18,
756,Beth Riesgraf,2026-08-24,
757,Bethany Blakey,,
758,Bethany Joy Lenz,2026-04-02,
759,Beto Gómez,2026-05-12,
760,Betsy Baker,,
761,Betsy Palmer,2026-11-01,2026-05-29
762,Betsy Russell,2026-09-06,
763,Betty Hutton,2026-02-26,2026-03-11
764,Betty Thomas,2026-07-27,
765,Beverly D'Angelo,2026-11-15,
766,Beverly Randolph,,
767,Bhama,,
768,Bhavkhandan Singh Rakhra,,
769,Bhole Baba,,
770,Bhoomika Chawla,2026-08-21,
771,Bianca Brigitte VanDamme,2026-10-17,
772,Bianca Collins,2026-08-17,
773,Bianca Kajlich,2026-03-26,
774,Bibo Bergeron,,
775,Big Budah,,
776,Bigas Luna,2026-03-19,2026-04-06
777,Bill Allen,,
778,Bill Bailey,2026-11-21,
779,Bill Baird,,
780,Bill Benenson,,
781,Bill Clinton,2026-08-19,
782,Bill Cobbs,2026-06-16,
783,Bill Condon,2026-10-22,
784,Bill Duke,2026-02-26,
785,Bill Erwin,2026-12-02,2026-12-29
786,Bill Fagerbakke,2026-10-04,
787,Bill Farmer,2026-11-14,
788,Bill Hickman,2026-01-25,2026-02-24
789,Bill Hunter,2026-02-27,2026-05-21
790,Bill Irwin,2026-04-11,
791,Bill Johnson,,
792,Bill Lake,2026-03-24,
793,Bill Maher,2026-01-20,
794,Bill Martone,,
795,Bill Melendez,2026-11-15,2026-09-02
796,Bill Muir,,
